X,Sample.ID,Download.Source,TLD,Download.Speed,Ping.Time.To.Server,File.Size.Bytes,How.Many.Times.File.Seen,Executable.Code.Maybe.Present.in.Headers,Calls.To.Low.level.System.Libraries,Evidence.of.Code.Obfuscation,Threads.Started,Mean.Word.Length.of.Extracted.Strings,Similarity.Score,Actually.Malicious,Initial.Statistical.Analysis
29270,104358,Well Known Software Download Websites,.net,1MB/s to 10MB/s,113,7405506,692,NO,688,YES,1,4.15,-0.04749231,NO,Correctly Identified as Clean
29272,104365,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,183,13999827,724,NO,1586,YES,1,4.15,-1.344135,NO,Correctly Identified as Clean
29274,104379,Well Known Software Download Websites,.com,1MB/s to 10MB/s,413,12641706,588,YES,1374,YES,1,4.74,-0.5077951,YES,Correctly Identified as Malware
29278,104385,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,627,13862396,539,NO,1563,YES,1,4.59,-0.2119105,NO,Correctly Identified as Clean
29281,104396,Linked Directly to Google Search Result,.org,100KB/s to 1MB/s,259,7754690,663,NO,728,YES,1,5.3,-0.5334982,YES,Correctly Identified as Malware
29282,104398,Wordpress Powered Web Site,.com,1MB/s to 10MB/s,345,13525871,584,NO,1510,NO,1,5.07,-1.149283,NO,Correctly Identified as Clean
29289,104428,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,274,2272171,546,YES,180,NO,1,4.84,0.04874077,YES,Correctly Identified as Malware
29294,104447,University Web Pages,.net,100KB/s to 1MB/s,118,2526343,719,YES,202,NO,1,5.79,1.518306,YES,Correctly Identified as Malware
29297,104452,Well Known Software Download Websites,.net,100KB/s to 1MB/s,357,7108405,677,NO,654,YES,1,4.11,0.6410612,NO,Correctly Identified as Clean
29301,104465,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,144,405674,668,NO,30,YES,1,5.63,-0.9718652,YES,Incorrectly Identified as Clean
29302,104466,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,238,259877,626,NO,19,NO,1,5.13,-0.4751042,NO,Correctly Identified as Clean
29304,104473,Well Known Software Download Websites,.com,100KB/s to 1MB/s,376,1072244,500,YES,82,YES,1,5.33,-0.889452,YES,Correctly Identified as Malware
29306,104481,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,47,6103563,593,YES,545,YES,1,5.27,0.8323559,YES,Correctly Identified as Malware
29308,104489,Well Known Software Download Websites,.com,1MB/s to 10MB/s,247,6348388,634,YES,571,NO,1,4.98,0.7412364,NO,Correctly Identified as Clean
29320,104524,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,45,13186530,688,YES,1457,NO,1,4.57,-0.3788115,NO,Correctly Identified as Clean
29323,104530,Wordpress Powered Web Site,.gov,100KB/s to 1MB/s,480,7988620,646,NO,755,NO,1,5.32,1.44399,NO,Correctly Identified as Clean
29324,104531,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,314,7186866,432,NO,663,YES,1,5.63,-0.968897,YES,Incorrectly Identified as Clean
29325,104537,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,659,5899195,717,YES,523,NO,1,5.39,-1.069751,YES,Incorrectly Identified as Clean
29326,104538,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,376,2241810,609,NO,178,YES,1,4.46,-1.158318,NO,Correctly Identified as Clean
29331,104562,Well Known Software Download Websites,.com,100KB/s to 1MB/s,129,1673777,516,NO,130,YES,1,5.07,-1.783896,NO,Correctly Identified as Clean
29332,104566,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,58,1077133,596,YES,82,NO,1,5.01,-0.1122536,NO,Correctly Identified as Clean
29334,104572,Well Known Software Download Websites,.net,100KB/s to 1MB/s,86,5822439,622,YES,515,NO,1,5.51,0.2359417,NO,Correctly Identified as Clean
29345,104605,Wordpress Powered Web Site,.net,1MB/s to 10MB/s,345,6077698,553,NO,542,YES,1,4.77,-1.720801,YES,Correctly Identified as Malware
29349,104615,Well Known Software Download Websites,.com,100KB/s to 1MB/s,259,15746344,479,NO,1880,YES,1,5.59,-0.2286624,NO,Correctly Identified as Clean
29353,104628,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,145,1267349,646,NO,97,YES,1,3.65,1.075949,NO,Correctly Identified as Clean
29359,104659,Well Known Software Download Websites,.net,100KB/s to 1MB/s,979,933302,537,YES,71,NO,1,5.39,0.9937642,NO,Correctly Identified as Clean
29363,104671,Git Repository,.net,100KB/s to 1MB/s,53,8261651,601,NO,787,NO,1,4.97,-0.839489,NO,Incorrectly Identified as Malware
29366,104683,Well Known Software Download Websites,.net,100KB/s to 1MB/s,421,2152195,798,NO,170,NO,1,5.36,1.93914,YES,Correctly Identified as Malware
29368,104695,Git Repository,.net,100KB/s to 1MB/s,225,3658277,651,NO,303,YES,1,4.58,-0.7962096,NO,Incorrectly Identified as Malware
29372,104700,Well Known Software Download Websites,.com,1MB/s to 10MB/s,217,1076737,444,NO,82,YES,1,4.47,-1.050015,YES,Correctly Identified as Malware
29377,104718,Wordpress Powered Web Site,.gov,100KB/s to 1MB/s,239,23418025,651,YES,3520,NO,1,4.97,0.1448423,NO,Incorrectly Identified as Malware
29378,104721,Wordpress Powered Web Site,.net,1MB/s to 10MB/s,154,861943,418,NO,65,YES,1,4.41,-0.15152,YES,Incorrectly Identified as Clean
29380,104725,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,125,16376641,629,YES,1992,YES,1,3.99,-0.565877,NO,Correctly Identified as Clean
29400,104783,Well Known Software Download Websites,.net,100KB/s to 1MB/s,31,3297507,677,YES,270,NO,1,5.55,1.222035,YES,Correctly Identified as Malware
29411,104827,Well Known Software Download Websites,.org,100KB/s to 1MB/s,266,2484799,568,YES,199,YES,1,5.09,-1.183379,YES,Incorrectly Identified as Clean
29417,104851,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,65,419775,429,NO,31,YES,1,5.29,-0.3884192,NO,Correctly Identified as Clean
29418,104853,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,57,20246993,631,NO,2767,YES,1,4.18,0.268239,NO,Correctly Identified as Clean
29427,104880,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,764,5346438,535,YES,467,NO,1,5.35,-0.07345288,NO,Correctly Identified as Clean
29428,104881,Well Known Software Download Websites,.com,100KB/s to 1MB/s,109,4645269,539,YES,397,YES,1,5.19,2.29715,YES,Correctly Identified as Malware
29429,104882,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,449,15840518,289,NO,1896,YES,1,5.17,-0.2279951,YES,Correctly Identified as Malware
29430,104883,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,47,3497072,610,NO,288,YES,1,5.33,0.4305894,YES,Correctly Identified as Malware
29437,104898,Well Known Software Download Websites,.com,100KB/s to 1MB/s,68,18806146,471,NO,2461,NO,1,6.07,0.7656696,NO,Correctly Identified as Clean
29438,104905,Well Known Software Download Websites,.com,100KB/s to 1MB/s,363,1240955,609,NO,95,YES,1,5.14,-0.2143245,NO,Correctly Identified as Clean
29442,104913,Well Known Software Download Websites,.com,100KB/s to 1MB/s,307,7613493,532,NO,711,YES,1,5.16,-1.222344,NO,Correctly Identified as Clean
29444,104915,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,357,2721490,609,NO,219,YES,1,4.51,-1.004396,YES,Incorrectly Identified as Clean
29449,104937,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,562,28186552,391,NO,4890,NO,1,4.84,-0.427518,NO,Correctly Identified as Clean
29453,104949,Linked Directly to Google Search Result,.gov,1MB/s to 10MB/s,85,23413116,445,YES,3519,NO,1,5.21,3.038438,NO,Incorrectly Identified as Malware
29458,104960,University Web Pages,.com,1MB/s to 10MB/s,300,1929323,191,NO,152,YES,1,4.57,-0.873123,YES,Correctly Identified as Malware
29465,104983,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,114,4718857,654,YES,404,YES,1,5.23,0.1227026,YES,Correctly Identified as Malware
29467,104988,Well Known Software Download Websites,.com,100KB/s to 1MB/s,132,15140980,687,YES,1775,YES,1,4.05,-1.253146,NO,Correctly Identified as Clean
29469,104999,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,396,2881084,632,NO,233,NO,1,4.83,-1.332799,YES,Correctly Identified as Malware
29471,105003,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,42,9177930,652,YES,899,YES,1,5.56,1.718664,YES,Correctly Identified as Malware
29475,105021,Well Known Software Download Websites,.com,100KB/s to 1MB/s,99,5711056,691,YES,504,NO,1,5.44,-0.03928933,YES,Correctly Identified as Malware
29483,105033,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,72,6045414,631,YES,539,YES,1,4,0.4170683,NO,Correctly Identified as Clean
29487,105049,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,368,5384221,610,YES,470,NO,1,5.41,-1.174234,NO,Correctly Identified as Clean
29488,105051,Well Known Software Download Websites,.edu,1MB/s to 10MB/s,328,8062793,270,NO,764,YES,1,4.87,-0.7120883,YES,Correctly Identified as Malware
29491,105056,Well Known Software Download Websites,.com,1MB/s to 10MB/s,630,1682890,481,NO,131,YES,1,4.63,-1.840771,YES,Incorrectly Identified as Clean
29498,105074,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,232,5634051,651,NO,496,NO,1,5.27,-0.4979245,NO,Correctly Identified as Clean
29499,105075,Linked Directly to Google Search Result,.org,100KB/s to 1MB/s,357,29061483,494,NO,5176,YES,1,5.19,0.754315,YES,Incorrectly Identified as Clean
29501,105080,Wordpress Powered Web Site,.com,1MB/s to 10MB/s,173,3602951,459,NO,298,YES,1,4.63,1.236145,YES,Correctly Identified as Malware
29504,105093,Well Known Software Download Websites,.gov,1MB/s to 10MB/s,286,9226943,392,NO,905,YES,1,4.75,-0.3173506,YES,Incorrectly Identified as Clean
29505,105101,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,672,2806485,659,YES,227,YES,1,4.32,0.8849488,NO,Correctly Identified as Clean
29506,105106,Wordpress Powered Web Site,.gov,100KB/s to 1MB/s,334,13388010,669,YES,1489,YES,1,4.24,0.2898983,NO,Correctly Identified as Clean
29507,105111,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,198,5105282,674,NO,442,NO,1,5.29,0.6767655,NO,Correctly Identified as Clean
29509,105115,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,369,8164911,563,NO,776,YES,1,4.81,1.33553,YES,Incorrectly Identified as Clean
29511,105119,Wordpress Powered Web Site,.edu,100KB/s to 1MB/s,224,18426695,619,NO,2384,YES,1,4.48,-1.42418,NO,Correctly Identified as Clean
29515,105133,Wordpress Powered Web Site,.gov,100KB/s to 1MB/s,639,5814415,597,NO,515,YES,1,4.24,0.2070711,NO,Correctly Identified as Clean
29519,105154,Well Known Software Download Websites,.com,100KB/s to 1MB/s,200,3660667,669,YES,303,NO,1,5.35,-0.2028468,NO,Correctly Identified as Clean
29522,105163,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,497,3210967,565,NO,263,YES,1,5.45,-0.8783245,YES,Correctly Identified as Malware
29524,105167,Wordpress Powered Web Site,.gov,1MB/s to 10MB/s,33,3778104,499,YES,314,YES,1,4.52,0.6931377,YES,Correctly Identified as Malware
29527,105179,Well Known Software Download Websites,.gov,1MB/s to 10MB/s,189,5903485,683,YES,524,YES,1,4.22,-0.5970491,NO,Incorrectly Identified as Malware
29534,105216,Well Known Software Download Websites,.com,100KB/s to 1MB/s,604,5492856,561,NO,481,YES,1,5.42,0.2619642,NO,Correctly Identified as Clean
29536,105224,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,124,1517442,623,YES,118,YES,1,5.12,-1.758641,NO,Correctly Identified as Clean
29541,105235,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,189,12519574,475,NO,1356,YES,1,5.32,-0.6169393,YES,Correctly Identified as Malware
29544,105239,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,310,16851201,529,YES,2079,YES,1,4.94,0.9343366,NO,Correctly Identified as Clean
29545,105240,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,134,21325634,343,YES,3010,YES,1,5.82,-0.6896987,YES,Correctly Identified as Malware
29546,105243,Linked Directly to Google Search Result,.gov,1MB/s to 10MB/s,582,156454,640,NO,11,NO,1,5.96,-0.6874791,YES,Correctly Identified as Malware
29551,105263,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,64,4319310,684,NO,365,YES,1,5.16,0.1262282,YES,Incorrectly Identified as Clean
29557,105283,Well Known Software Download Websites,.net,100KB/s to 1MB/s,577,2288380,661,YES,182,NO,1,5.49,-0.5243027,NO,Correctly Identified as Clean
29559,105287,Linked Directly to Google Search Result,.org,100KB/s to 1MB/s,163,2032630,512,YES,160,NO,1,5.15,1.228382,NO,Correctly Identified as Clean
29565,105302,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,198,17378006,575,NO,2179,NO,1,4.72,-1.214638,NO,Correctly Identified as Clean
29570,105315,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,110,10470987,512,YES,1066,NO,1,4.59,-1.512332,YES,Incorrectly Identified as Clean
29572,105319,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,214,6315699,626,YES,567,NO,1,5.45,0.7715741,NO,Incorrectly Identified as Malware
29573,105320,Well Known Software Download Websites,.net,100KB/s to 1MB/s,222,21996378,587,NO,3168,YES,1,5.07,-0.2357206,NO,Correctly Identified as Clean
29576,105326,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,61,8040325,455,YES,761,YES,1,4.97,1.244409,YES,Correctly Identified as Malware
29578,105332,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,317,2598458,476,YES,208,YES,1,5.42,0.07138326,NO,Correctly Identified as Clean
29583,105355,Well Known Software Download Websites,.net,1MB/s to 10MB/s,181,1661070,627,YES,129,YES,1,4.43,1.765841,YES,Correctly Identified as Malware
29584,105357,Wordpress Powered Web Site,.net,1MB/s to 10MB/s,145,8300437,667,NO,792,NO,1,5.07,-0.2679874,NO,Correctly Identified as Clean
29585,105366,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,326,10501590,650,NO,1071,YES,1,4.99,0.8622254,YES,Correctly Identified as Malware
29595,105390,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,79,1002861,619,NO,76,NO,1,5.32,-1.856712,NO,Correctly Identified as Clean
29596,105393,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,443,16764691,721,NO,2063,NO,1,5.41,0.6072735,YES,Correctly Identified as Malware
29597,105394,Well Known Software Download Websites,.gov,1MB/s to 10MB/s,662,2931740,533,YES,238,NO,1,4.53,-0.9203158,YES,Incorrectly Identified as Clean
29600,105397,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,175,11695612,388,NO,1236,YES,1,5.52,0.5809554,YES,Incorrectly Identified as Clean
29602,105405,Git Repository,.com,100KB/s to 1MB/s,46,19595057,412,YES,2626,NO,1,3.98,-0.51427,YES,Correctly Identified as Malware
29605,105411,Git Repository,.net,100KB/s to 1MB/s,102,6140270,604,YES,549,YES,1,4.86,-1.133834,NO,Incorrectly Identified as Malware
29606,105417,Well Known Software Download Websites,.org,100KB/s to 1MB/s,355,9682207,616,YES,963,YES,1,4.77,0.3318651,YES,Incorrectly Identified as Clean
29613,105441,Well Known Software Download Websites,.net,1MB/s to 10MB/s,256,19766766,674,YES,2663,NO,1,4.87,1.238169,NO,Incorrectly Identified as Malware
29614,105446,Well Known Software Download Websites,.com,1MB/s to 10MB/s,48,11351687,729,NO,1187,NO,1,4.39,0.567836,YES,Incorrectly Identified as Clean
29617,105459,Wordpress Powered Web Site,.com,1MB/s to 10MB/s,124,5918185,603,NO,525,YES,1,4.58,-1.156314,YES,Incorrectly Identified as Clean
29621,105466,University Web Pages,.net,100KB/s to 1MB/s,476,6065022,482,YES,541,NO,1,5.35,0.4917743,NO,Correctly Identified as Clean
29625,105482,Well Known Software Download Websites,.com,100KB/s to 1MB/s,437,11678812,630,NO,1233,YES,1,4.69,1.237551,NO,Correctly Identified as Clean
29627,105489,University Web Pages,.com,1MB/s to 10MB/s,374,2408751,390,NO,192,YES,1,4.45,0.4176968,YES,Correctly Identified as Malware
29628,105490,Well Known Software Download Websites,.edu,100KB/s to 1MB/s,29,16027523,476,YES,1929,YES,1,5.26,0.5326721,YES,Correctly Identified as Malware
29631,105495,Wordpress Powered Web Site,.com,100KB/s to 1MB/s,563,14526727,522,NO,1671,NO,1,4.73,0.4913538,NO,Correctly Identified as Clean
29633,105505,Well Known Software Download Websites,.net,1MB/s to 10MB/s,838,6108960,416,NO,546,YES,1,4.4,-1.093173,YES,Correctly Identified as Malware
29634,105508,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,182,1135293,597,NO,87,YES,1,5.13,-0.8240119,NO,Correctly Identified as Clean
29635,105511,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,174,22420904,796,YES,3271,YES,1,3.89,2.715792,NO,Correctly Identified as Clean
29643,105536,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,270,699079,505,YES,53,YES,1,5.34,-0.220459,NO,Incorrectly Identified as Malware
29647,105555,Linked Directly to Google Search Result,.gov,100KB/s to 1MB/s,590,3301004,543,YES,271,YES,1,5.2,-0.7283533,NO,Correctly Identified as Clean
29650,105561,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,177,422462,533,YES,31,YES,1,5.74,0.3578908,YES,Correctly Identified as Malware
29653,105579,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,89,1146304,639,NO,88,NO,1,4.46,1.269327,YES,Correctly Identified as Malware
29660,105605,Wordpress Powered Web Site,.edu,1MB/s to 10MB/s,181,7494802,623,YES,698,NO,1,5.12,0.07994688,NO,Correctly Identified as Clean
29664,105616,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,114,6824154,604,NO,623,YES,1,4.54,-0.1372714,NO,Correctly Identified as Clean
29666,105626,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,343,9016053,696,NO,879,NO,1,5.88,-1.292939,YES,Correctly Identified as Malware
29668,105630,Well Known Software Download Websites,.net,100KB/s to 1MB/s,159,8844622,484,NO,858,NO,1,5.72,1.790292,NO,Correctly Identified as Clean
29673,105639,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,336,18891155,680,YES,2478,YES,1,4.67,0.2006699,NO,Incorrectly Identified as Malware
29674,105641,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,252,4574362,597,YES,390,YES,1,5.56,0.1086054,YES,Correctly Identified as Malware
29675,105642,Well Known Software Download Websites,.com,100KB/s to 1MB/s,513,8051591,547,YES,762,NO,1,5.61,0.9289164,NO,Correctly Identified as Clean
29676,105646,University Web Pages,.com,1MB/s to 10MB/s,574,19557014,736,YES,2618,NO,1,4.9,1.095277,NO,Correctly Identified as Clean
29678,105651,Well Known Software Download Websites,.net,100KB/s to 1MB/s,165,2873763,627,YES,233,YES,1,5.8,1.353446,YES,Incorrectly Identified as Clean
29681,105656,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,690,4416857,396,NO,375,NO,1,4.57,1.314495,YES,Incorrectly Identified as Clean
29682,105657,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,306,18763975,389,YES,2452,YES,1,5.03,-1.302492,YES,Incorrectly Identified as Clean
29683,105659,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,264,7692688,489,NO,721,YES,1,4.91,-0.7972001,YES,Correctly Identified as Malware
29685,105666,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,128,10871166,353,NO,1121,YES,1,5.47,1.313655,YES,Correctly Identified as Malware
29687,105671,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,58,14004646,640,NO,1586,NO,1,5,0.163093,NO,Correctly Identified as Clean
29689,105673,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,421,3341568,632,NO,274,YES,1,5.69,-0.4703892,YES,Correctly Identified as Malware
29691,105693,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,159,4616781,574,NO,394,YES,1,4.65,-0.9420764,YES,Correctly Identified as Malware
29702,105744,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,506,19527406,596,NO,2611,YES,1,5.19,0.3320639,YES,Correctly Identified as Malware
29704,105751,Well Known Software Download Websites,.net,100KB/s to 1MB/s,177,8503729,392,NO,816,YES,1,5.3,0.4176039,YES,Incorrectly Identified as Clean
29705,105754,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,47,5920772,595,NO,526,NO,1,5.09,-0.08744637,NO,Incorrectly Identified as Malware
29706,105755,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,223,13897508,796,YES,1569,NO,1,5.39,-0.6727774,YES,Correctly Identified as Malware
29713,105796,Linked Directly to Google Search Result,.net,1MB/s to 10MB/s,150,955810,554,YES,73,YES,1,4.65,0.1392448,YES,Correctly Identified as Malware
29715,105810,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,439,2170889,567,NO,172,YES,1,5.41,-0.4250716,YES,Incorrectly Identified as Clean
29723,105834,Well Known Software Download Websites,.net,100KB/s to 1MB/s,40,4015256,578,NO,336,NO,1,5.33,-0.2016382,NO,Correctly Identified as Clean
29724,105838,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,361,2158069,526,NO,171,NO,1,5.1,-0.09628515,NO,Correctly Identified as Clean
29727,105850,Well Known Software Download Websites,.com,100KB/s to 1MB/s,167,1738904,612,YES,136,NO,1,5.33,1.232929,NO,Correctly Identified as Clean
29731,105862,Wordpress Powered Web Site,.gov,1MB/s to 10MB/s,91,506489,632,YES,38,NO,1,4.99,1.130227,NO,Correctly Identified as Clean
29735,105887,Wordpress Powered Web Site,.com,1MB/s to 10MB/s,266,330578,444,NO,24,YES,1,4.59,0.2950172,YES,Correctly Identified as Malware
29738,105896,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,238,665732,671,NO,50,YES,1,4.54,1.726466,NO,Correctly Identified as Clean
29740,105903,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,100,7496563,639,YES,698,NO,1,5.17,1.008295,NO,Incorrectly Identified as Malware
29741,105908,Wordpress Powered Web Site,.net,100KB/s to 1MB/s,367,16366728,634,NO,1990,YES,1,4.27,-0.7485622,NO,Correctly Identified as Clean
29744,105920,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,227,10042314,661,YES,1010,YES,1,5.17,-0.475779,YES,Correctly Identified as Malware
29749,105931,University Web Pages,.com,100KB/s to 1MB/s,117,5984785,558,NO,532,NO,1,5.13,-2.057923,NO,Incorrectly Identified as Malware
29759,105972,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,163,1929954,581,NO,152,NO,1,4.98,-0.6997149,NO,Correctly Identified as Clean
29762,105979,Well Known Software Download Websites,.com,100KB/s to 1MB/s,333,4764637,528,NO,408,YES,1,5.48,-0.9282383,YES,Incorrectly Identified as Clean
29766,105989,Well Known Software Download Websites,.edu,100KB/s to 1MB/s,203,13325456,737,NO,1479,NO,1,5.29,-1.047612,YES,Correctly Identified as Malware
29768,106001,Linked Directly to Google Search Result,.org,1MB/s to 10MB/s,676,12253928,544,YES,1317,YES,1,4.58,-0.7779887,NO,Correctly Identified as Clean
29776,106036,Well Known Software Download Websites,.gov,100KB/s to 1MB/s,126,2475902,647,YES,198,YES,1,5.5,-1.943081,YES,Correctly Identified as Malware
29785,106094,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,64,28206047,431,NO,4896,YES,1,5.35,0.1348783,YES,Incorrectly Identified as Clean
29789,106111,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,193,3698020,541,NO,307,YES,1,5.6,-1.047176,YES,Incorrectly Identified as Clean
29797,106149,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,611,12339971,543,NO,1329,NO,1,5.75,0.214466,NO,Correctly Identified as Clean
29800,106161,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,118,17984865,349,NO,2296,YES,1,5.74,-0.9056734,YES,Correctly Identified as Malware
29803,106172,Git Repository,.com,1MB/s to 10MB/s,75,12094983,516,YES,1294,NO,1,4.42,-0.08702725,YES,Incorrectly Identified as Clean
29807,106179,Linked Directly to Google Search Result,.edu,100KB/s to 1MB/s,74,835173,609,NO,63,YES,1,5.27,-0.2302786,NO,Correctly Identified as Clean
29812,106195,University Web Pages,.edu,100KB/s to 1MB/s,137,16733835,381,YES,2058,YES,1,5.16,-0.210723,YES,Correctly Identified as Malware
29816,106201,Wordpress Powered Web Site,.gov,100KB/s to 1MB/s,308,15787808,510,NO,1887,NO,1,5.83,-0.223163,NO,Correctly Identified as Clean
29821,106217,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,52,9188686,653,NO,900,YES,1,4.74,0.8122582,YES,Incorrectly Identified as Clean
29822,106218,Linked Directly to Google Search Result,.org,100KB/s to 1MB/s,260,12249848,632,YES,1316,NO,1,5.25,0.5977083,NO,Correctly Identified as Clean
29828,106234,Git Repository,.com,100KB/s to 1MB/s,374,8843382,584,NO,858,YES,1,5.42,1.033199,YES,Incorrectly Identified as Clean
29830,106239,Well Known Software Download Websites,.gov,1MB/s to 10MB/s,498,15048754,498,NO,1759,YES,1,4.76,-1.459287,YES,Correctly Identified as Malware
29833,106244,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,660,2214996,631,NO,176,YES,1,4.74,0.3753492,NO,Correctly Identified as Clean
29838,106261,Well Known Software Download Websites,.net,1MB/s to 10MB/s,195,9319241,350,YES,917,YES,1,4.77,-0.4998441,YES,Correctly Identified as Malware
29842,106279,Well Known Software Download Websites,.net,100KB/s to 1MB/s,273,893214,546,NO,68,YES,1,5.36,1.147549,NO,Correctly Identified as Clean
29843,106281,Well Known Software Download Websites,.gov,1MB/s to 10MB/s,220,14825238,486,NO,1721,NO,1,4.07,-0.6381328,YES,Correctly Identified as Malware
29844,106282,Git Repository,.net,100KB/s to 1MB/s,523,6931536,680,YES,635,YES,1,5.18,-0.8766151,YES,Correctly Identified as Malware
29850,106304,Wordpress Powered Web Site,.net,1MB/s to 10MB/s,476,11255441,750,NO,1174,NO,1,5.07,1.559195,NO,Correctly Identified as Clean
29851,106310,Linked Directly to Google Search Result,.gov,1MB/s to 10MB/s,371,17173460,504,NO,2140,NO,1,4.15,0.5669993,YES,Incorrectly Identified as Clean
29857,106322,Linked Directly to Google Search Result,.com,100KB/s to 1MB/s,289,2838119,560,YES,229,YES,1,4.93,0.06875016,YES,Incorrectly Identified as Clean
29858,106336,Linked Directly to Google Search Result,.net,100KB/s to 1MB/s,374,7735000,580,NO,725,YES,1,5.4,-0.5236386,NO,Correctly Identified as Clean
29862,106345,Well Known Software Download Websites,.net,100KB/s to 1MB/s,58,8051240,533,NO,762,YES,1,5.38,-1.776662,YES,Correctly Identified as Malware
29863,106350,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,373,2120794,627,YES,168,NO,1,5.15,-0.2142287,NO,Correctly Identified as Clean
29867,106358,Linked Directly to Google Search Result,.com,1MB/s to 10MB/s,38,4102681,470,NO,345,NO,1,4.55,1.141636,YES,Correctly Identified as Malware
29872,106365,Well Known Software Download Websites,.com,100KB/s to 1MB/s,294,9213024,480,NO,903,YES,1,4.95,-0.6248066,YES,Incorrectly Identified as Clean
29873,106371,University Web Pages,.com,100KB/s to 1MB/s,622,435673,549,YES,32,YES,1,5.23,-0.4431911,YES,Incorrectly Identified as Clean
29874,106372,Linked Directly to Google Search Result,.org,100KB/s to 1MB/s,160,5744904,574,NO,507,YES,1,5.54,-2.427385,YES,Incorrectly Identified as Clean
